Category,Question,Answer,Price
Science,What is the chemical symbol for gold?,Au,100
Science,How many planets are in our solar system?,8,200
Science,What gas do plants absorb from the atmosphere?,Carbon Dioxide,300
Science,What is the hardest natural substance on Earth?,Diamond,400
Science,What particle orbits the nucleus of an atom?,Electron,500
Science,What is the powerhouse of the cell?,Mitochondria,600
Science,Which planet is known as the Red Planet?,Mars,700
Science,What is the pH of pure water?,7,800
Science,What force keeps planets in orbit around the sun?,Gravity,900
Science,What is the main component of the Sun?,Hydrogen,1000
History,Who was the first president of the United States?,George Washington,100
History,In which year did World War II end?,1945,200
History,Which empire built the Colosseum?,Roman,300
History,Who wrote the Declaration of Independence?,Thomas Jefferson,400
History,Which country gifted the Statue of Liberty to the USA?,France,500
History,The Berlin Wall fell in which year?,1989,600
History,Who was the first woman to win a Nobel Prize?,Marie Curie,700
History,Which war was fought between the North and South regions of the U.S.?,Civil War,800
History,Who was the leader of the Soviet Union during WWII?,Joseph Stalin,900
History,The Magna Carta was signed in which century?,13th,1000
Geography,What is the capital of France?,Paris,100
Geography,Which river is the longest in the world?,Nile,200
Geography,What is the largest ocean on Earth?,Pacific,300
Geography,Which country has the most natural lakes?,Canada,400
Geography,Mount Everest is located in which mountain range?,Himalayas,500
Geography,What is the smallest country in the world?,Vatican City,600
Geography,Which continent is known as the "Dark Continent"?,Africa,700
Geography,The Sahara is located on which continent?,Africa,800
Geography,Which U.S. state is known as the Aloha State?,Hawaii,900
Geography,What is the capital of Australia?,Canberra,1000
Animals,What is the fastest land animal?,Cheetah,100
Animals,How many legs does a spider have?,8,200
Animals,Which bird is known for its ability to mimic human speech?,Parrot,300
Animals,What is the largest mammal in the world?,Blue Whale,400
Animals,Which animal is known as the "King of the Jungle"?,Lion,500
Animals,What do bees collect from flowers to make honey?,Nectar,600
Animals,Which reptile can change its skin color?,Chameleon,700
Animals,What is a baby kangaroo called?,Joey,800
Animals,Which animal has the longest lifespan?,Greenland Shark,900
Animals,What is the only mammal capable of true flight?,Bat,1000
Movies,"Who played Iron Man in the Marvel films?",Robert Downey Jr.,100
Movies,In which movie does a character say, ""Here's Johnny!""?,The Shining,200
Movies,What is the highest-grossing film of all time (as of 2023)?,Avatar,300
Movies,"Who directed ""Jaws"" and ""E.T.""?",Steven Spielberg,400
Movies,What animated film features a robot named WALL·E?,WALL·E,500
Movies,"In ""The Matrix"", what color is the pill Neo takes?",Red,600
Movies,Which Disney movie features the song ""Let It Go""?,Frozen,700
Movies,What is the name of Andy’s cowboy doll in Toy Story?,Woody,800
Movies,"Which actor played the Joker in ""The Dark Knight""?",Heath Ledger,900
Movies,What year was the original ""Star Wars"" released?,1977,1000
Sports,In which sport would you perform a slam dunk?,Basketball,100
Sports,How many players are on a baseball team?,9,200
Sports,Which country hosted the 2016 Summer Olympics?,Brazil,300
Sports,What is the national sport of Japan?,Sumo Wrestling,400
Sports,In tennis, what is a zero score called?,Love,500
Sports,Which player has the most NBA championships?,Bill Russell,600
Sports,How many holes are in a standard round of golf?,18,700
Sports,Which team won the first Super Bowl?,Green Bay Packers,800
Sports,What is the diameter of a basketball hoop in inches?,18,900
Sports,In which sport is the Stanley Cup awarded?,Hockey,1000
